id,brand,name_ja,model,batch_name,source_file,managed_file
5f095fd2-14d0-4d86-b13f-f35bc204d6d6,mont-bell,アルパイン カーボンポール,アルパイン カーボンポール,catalog-first-page-visible,tmp/gear-images/processed/catalog-first-page-visible/5f095fd2-14d0-4d86-b13f-f35bc204d6d6.png,processed/by-brand-all/mont-bell/アルパイン カーボンポール - 5f095fd2.png
2f1b2fef-c59f-43b7-bbe4-6e22b11a59f8,Black Diamond,アストロ300-R,アストロ300-R,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/2f1b2fef-c59f-43b7-bbe4-6e22b11a59f8.png,processed/by-brand-all/Black Diamond/アストロ300-R - 2f1b2fef.png
b9044ada-2cd3-484b-b18f-f61ef26ce419,Black Diamond,ガイドグローブ,ガイドグローブ,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/b9044ada-2cd3-484b-b18f-f61ef26ce419.png,processed/by-brand-all/Black Diamond/ガイドグローブ - b9044ada.png
ac1c592e-90cc-43b7-8f6b-1d97740864fd,Black Diamond,キャピタンE,キャピタンE,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/ac1c592e-90cc-43b7-8f6b-1d97740864fd.png,processed/by-brand-all/Black Diamond/キャピタンE - ac1c592e.png
ba3ddad5-f0b7-4db0-8ed3-f3dac1332104,Black Diamond,コズモ350,コズモ350,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/ba3ddad5-f0b7-4db0-8ed3-f3dac1332104.png,processed/by-brand-all/Black Diamond/コズモ350 - ba3ddad5.png
012c8512-7a8b-450b-8573-251c7be4b8c8,Black Diamond,コズモ350-R,コズモ350-R,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/012c8512-7a8b-450b-8573-251c7be4b8c8.png,processed/by-brand-all/Black Diamond/コズモ350-R - 012c8512.png
083cb815-82b5-4270-bc8a-eaaf6d969d5b,Black Diamond,コンタクト ストラップ,コンタクト ストラップ,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/083cb815-82b5-4270-bc8a-eaaf6d969d5b.png,processed/by-brand-all/Black Diamond/コンタクト ストラップ - 083cb815.png
02163389-ca2b-4734-a7e7-515802fa4bd4,Black Diamond,サイボーグ プロ,サイボーグ プロ,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/02163389-ca2b-4734-a7e7-515802fa4bd4.png,processed/by-brand-all/Black Diamond/サイボーグ プロ - 02163389.png
54eabf33-d3cd-4b39-b88b-311b9147dec2,Black Diamond,ストーム450,ストーム450,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/54eabf33-d3cd-4b39-b88b-311b9147dec2.png,processed/by-brand-all/Black Diamond/ストーム450 - 54eabf33.png
b66c770c-8a36-43ce-955c-9fd7e9db896e,Black Diamond,ストーム500-R,ストーム500-R,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/b66c770c-8a36-43ce-955c-9fd7e9db896e.png,processed/by-brand-all/Black Diamond/ストーム500-R - b66c770c.png
68515b6d-60cf-4e86-a2aa-354882913265,Black Diamond,スピード22,スピード22,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/68515b6d-60cf-4e86-a2aa-354882913265.png,processed/by-brand-all/Black Diamond/スピード22 - 68515b6d.png
75a8d5a1-a3c7-40a3-81d4-8cff830735ef,Black Diamond,スピード30,スピード30,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/75a8d5a1-a3c7-40a3-81d4-8cff830735ef.png,processed/by-brand-all/Black Diamond/スピード30 - 75a8d5a1.png
e0c93b9d-2298-4d4a-95bc-84f448f9d131,Black Diamond,スピード40,スピード40,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/e0c93b9d-2298-4d4a-95bc-84f448f9d131.png,processed/by-brand-all/Black Diamond/スピード40 - e0c93b9d.png
8d0fc6d4-f1ae-499f-9c30-13c127e96992,Black Diamond,スポット400,スポット400,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/8d0fc6d4-f1ae-499f-9c30-13c127e96992.png,processed/by-brand-all/Black Diamond/スポット400 - 8d0fc6d4.png
e9c3c6a1-530b-4535-9d03-5ad3524be2cd,Black Diamond,スポット400-R,スポット400-R,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/e9c3c6a1-530b-4535-9d03-5ad3524be2cd.png,processed/by-brand-all/Black Diamond/スポット400-R - e9c3c6a1.png
b7a39e18-93fa-4c68-83b9-41ee5469d63b,Black Diamond,セイバートゥース プロ,セイバートゥース プロ,catalog-brand-existing-visible,tmp/gear-images/processed/catalog-brand-existing-visible/b7a39e18-93fa-4c68-83b9-41ee5469d63b.png,processed/by-brand-all/Black Diamond/セイバートゥース プロ - b7a39e18.png
