brand,name_ja,model,category_label,id,managed_file,original_processed_file,source_image_url
SOTO,パワーガス250トリプルミックス,SOD-725T,クッキング（Cooking）,e1686322-bed9-4f87-8934-b8013c036453,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/パワーガス250トリプルミックス - SOD-725T - e1686322.png,tmp/gear-images/processed/catalog-first-page-visible/e1686322-bed9-4f87-8934-b8013c036453.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-725T_01-1.jpg
SOTO,マイクロレギュレーターストーブ FUSION Trek SOD-331,SOD-331,クッキング（Cooking）,0e5648f7-14f7-4dc0-b993-f37ed6ad0b3a,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/マイクロレギュレーターストーブ FUSION Trek SOD-331 - SOD-331 - 0e5648f7.png,tmp/gear-images/processed/catalog-first-page-visible/0e5648f7-14f7-4dc0-b993-f37ed6ad0b3a.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-331_01-1-550x354.jpg
SOTO,マイクロレギュレーターストーブ ウインドマスター SOD-310,SOD-310,クッキング（Cooking）,3755f48c-66c1-49d6-b6eb-f49d5172e9f7,tmp/gear-images/processed/catalog-first-page-visible/by-brand/SOTO/マイクロレギュレーターストーブ ウインドマスター SOD-310 - SOD-310 - 3755f48c.png,tmp/gear-images/processed/catalog-first-page-visible/3755f48c-66c1-49d6-b6eb-f49d5172e9f7.png,https://soto.shinfuji.co.jp/wp-content/uploads/products/SOD-310_01-1-550x826.jpg
THE NORTH FACE,クライムライトジャケット（メンズ）,クライムライトジャケット（メンズ）,レインウェア（Rainwear）,a507f563-20a2-4054-bdb7-3169a6bff066,tmp/gear-images/processed/catalog-first-page-visible/by-brand/THE NORTH FACE/クライムライトジャケット(メンズ) - a507f563.png,tmp/gear-images/processed/catalog-first-page-visible/a507f563-20a2-4054-bdb7-3169a6bff066.png,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001HUT/02_AJ71-432.jpg
THE NORTH FACE,ストライクトレイルジャケット（メンズ）,ストライクトレイルジャケット（メンズ）,レインウェア（Rainwear）,1360c2cf-7dca-449f-b747-f71388d8c14f,tmp/gear-images/processed/catalog-first-page-visible/by-brand/THE NORTH FACE/ストライクトレイルジャケット(メンズ) - 1360c2cf.png,tmp/gear-images/processed/catalog-first-page-visible/1360c2cf-7dca-449f-b747-f71388d8c14f.png,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001KZQ/02_BC21-432.jpg
THE NORTH FACE,ストライクトレイルジャケット（レディース）,ストライクトレイルジャケット（レディース）,レインウェア（Rainwear）,ed4d1461-8ecc-4b95-9ca3-34896ded4dfc,tmp/gear-images/processed/catalog-first-page-visible/by-brand/THE NORTH FACE/ストライクトレイルジャケット(レディース) - ed4d1461.png,tmp/gear-images/processed/catalog-first-page-visible/ed4d1461-8ecc-4b95-9ca3-34896ded4dfc.png,https://itemimg.goldwin.co.jp/itemimg/GDW01/A0GDW0001L0T/02_BC21-432.jpg
Therm-a-Rest,NeoAir XLite NXT MAX レギュラーワイド,NeoAir XLite NXT MAX Regular Wide,寝具（Sleep System）,bb67aec0-f9c2-4a30-9e84-237e03332717,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Therm-a-Rest/NeoAir XLite NXT MAX レギュラーワイド - NeoAir XLite NXT MAX Regular Wide - bb67aec0.png,tmp/gear-images/processed/catalog-first-page-visible/bb67aec0-f9c2-4a30-9e84-237e03332717.png,https://cdn.shopify.com/s/files/1/0574/0642/3174/files/11631_thermarest_neoair_xlite_nxt_max_solarflare_regular_wide_angle.jpg?v=1724820254
Therm-a-Rest,NeoAir XLite NXT レギュラー,NeoAir XLite NXT Regular,寝具（Sleep System）,06258fba-df94-48fe-9c47-dab2b378d1cd,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Therm-a-Rest/NeoAir XLite NXT レギュラー - NeoAir XLite NXT Regular - 06258fba.png,tmp/gear-images/processed/catalog-first-page-visible/06258fba-df94-48fe-9c47-dab2b378d1cd.png,https://cdn.shopify.com/s/files/1/0574/0642/3174/files/11627_thermarest_neoair_xlite_nxt_solarflare_regular_angle.jpg?v=1724820257
Therm-a-Rest,NeoAir XTherm NXT MAX レギュラーワイド,NeoAir XTherm NXT MAX Regular Wide,寝具（Sleep System）,04b7c025-b597-4d8c-8834-257084f778ea,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Therm-a-Rest/NeoAir XTherm NXT MAX レギュラーワイド - NeoAir XTherm NXT MAX Regular Wide - 04b7c025.png,tmp/gear-images/processed/catalog-first-page-visible/04b7c025-b597-4d8c-8834-257084f778ea.png,https://cdn.shopify.com/s/files/1/0574/0642/3174/files/11636_thermarest_neoair_xtherm_nxt_max_neptune_regular_wide_angle.jpg?v=1724820256
Therm-a-Rest,NeoAir XTherm NXT レギュラー,NeoAir XTherm NXT Regular,寝具（Sleep System）,70408436-1a10-4260-b839-b9e192ac71c8,tmp/gear-images/processed/catalog-first-page-visible/by-brand/Therm-a-Rest/NeoAir XTherm NXT レギュラー - NeoAir XTherm NXT Regular - 70408436.png,tmp/gear-images/processed/catalog-first-page-visible/70408436-1a10-4260-b839-b9e192ac71c8.png,https://cdn.shopify.com/s/files/1/0574/0642/3174/files/11633_thermarest_neoair_xtherm_nxt_neptune_regular_angle_award.jpg?v=1724820257
